Título,Autor,Año,Grado
Identificación de biomarcadores de origen aminoacídico en pacientes con traumatismo craneoencefálico (TCE) : niveles plasmaticos de taurina en población pediatrica con TCE leve,"Aguirre González, Daniela Michell",2020,Especialidad en Medicina (Pediatría)
Violencia en el noviazgo : programas de prevención y labor del psicólogo,"Aguirre López, Aquetzali Berenice",2020,Licenciatura en Psicología
Prioridades de conservación para Romerolagus diazi con base en modelos de distribución de especies incluyendo interacciones bióticas,"Aguirre López, Luis José",2020,Maestría en Ciencias Biológicas
Apoyo educativo para fomento del autocuidado en una familia monoparental de la comunidad de San Luis Tlaxialtemalco,"Aguirre Maldonado, Amanda",2020,Especialidad en Enfermería en Salud Pública
Expresión global de genes y predicción de rutas metabólicas involucradas en las respuestas de defensa del aguacate Persea americana Mill a la marchitez por fusarium,"Aguirre Pérez, Itzel Aislinn",2020,Licenciatura en Ciencias Agrogenómicas
Efecto del grado de obesidad en los resultados subjetivos de la cirugía antiincontinencia,"Aguirre Sánchez, Martha Carolina",2020,Especialidad en Medicina (Urología Ginecológica)
Comparación del desempeño sísmico de una estructura de hospital equipada con diferentes sistemas de protección sísmica,"Aguirre Santa Cruz, José Abraham",2020,Maestría en Ingeniería Civil
Asociación entre el patrón histológico del carcinoma pulmonar con la mutación del gen EGFR en el Hospital General de Morelia Dr. Miguel Silva en los años 2012-2018,"Aguirre Urbano, Job Abraham",2020,Especialidad en Medicina (Anatomía Patológica)
Síntesis en un solo paso de nanoreactores Au@CeO2 y Au@Cex-Zry-O mediante la técnica de rocío pirolítico,"Aguirre Vega, Sandra Beatriz",2020,Doctorado en Ciencia e Ingeniería de Materiales
Un acercamiento al invariante cardinal h.,"Ahumada Lemus, René Leonardo",2020,Licenciatura en Matemáticas
Morbilidad obstétrica severa y bajo peso fetal,"Ahumada Murillo, Nubia Karina",2020,Especialidad en Medicina (Ginecología y Obstetricia)
Radioterapia paliativa para metástasis cerebrales por cáncer ginecológico,"Ahumada Pamanes, Ana Carolina",2020,Especialidad en Medicina (Radiooncología)
